date,release,results_commit_sha,counter_commit_sha,notes
2024-11-05,1,b03a5b0902bcb0b6feab6b77c255e2fc50ee52f4,b03a5b0902bcb0b6feab6b77c255e2fc50ee52f4,Early mail-in ballots
2024-11-05,2,a639e283ffe67a263dc304aa414950fd1852fcbb,a639e283ffe67a263dc304aa414950fd1852fcbb,Early in-person ballots
2024-11-05,3,0d22dd9ddb41723f2b2f85907c5bc071da4b0734,c72bebb637403305aa709e4d285279ff431aef00,More early mail-in ballots
2024-11-05,4,2c5fbe5390b38265589e1bfeff9da11788ddbe50,2c5fbe5390b38265589e1bfeff9da11788ddbe50,Vote center ballots
2024-11-06,1,fca8ba7ceec5325cf7e7f05560aa3177b7f8e439,ba3b18a04f205aa7393bd4aa1bcd21143a30fe64,
2024-11-07,1,efff7832d0428b91865f3320f2f522aa1371a2db,efff7832d0428b91865f3320f2f522aa1371a2db,
2024-11-08,1,dd818cd80cdd7438c34e68e169392eb3736b9fbd,dd818cd80cdd7438c34e68e169392eb3736b9fbd,
2024-11-09,1,c76c35f0a3f5918c6fdc19689a6d034c98ea0f70,c3372487d7f708d40741449b7de1573e0fdcf433,
2024-11-10,1,ab3a48f28e98788bf95eab16b202cf9c00f812a4,ab3a48f28e98788bf95eab16b202cf9c00f812a4,
2024-11-11,1,106b77d88ab48dbbba4746f230c40373119a37c5,106b77d88ab48dbbba4746f230c40373119a37c5,
2024-11-12,1,d3a9695f1fd279af345a21661741c61463b59b33,0c8161ea1d93879674303f5324094d888b331b68,
